Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Full Address 1	Latitude 1	Longitude 1	SĐT
Phú Hoà Đông	100	Xã	97766	59.75	1636.25	Xã Tân Thạnh Tây (H. Củ Chi), Xã Tân Thạnh Đông (H. Củ Chi), Xã Phú Hoà Đông (H. Củ Chi)		xã Bình Mỹ, xã Củ Chi, xã Nhuận Đức, xã Xuân Thới Sơn, phường Tây Nam và phường Phú An	Số 269 Tỉnh lộ 8, ấp 2A, xã Phú Hòa Đông	10.9848881	106.5593469	0964793096
Phú Giáo	99	Xã	42739	192.83	221.64	Xã An Bình (H. Phú Giáo), Thị trấn Phước Vĩnh (H. Phú Giáo)	Xã Tam Lập (H. Phú Giáo)	xã Phước Thành, xã Phước Hoà, xã Bắc Tân Uyên và tỉnh Đồng Nai	Số 16A, đường Trần Quang Diệu, xã Phú Giáo	11.2946786	106.7950686	0964809126
Thường Tân	156	Xã	21238	120.7	175.96	Xã Thường Tân (H. Bắc Tân Uyên), Xã Lạc An (H. Bắc Tân Uyên), Xã Hiếu Liêm (H. Bắc Tân Uyên)	Xã Tân Mỹ (H. Bắc Tân Uyên)	xã Bắc Tân Uyên, phường Tân Uyên và tỉnh Đồng Nai	Đường ĐT746, ấp 4, xã Thường Tân	11.0280043	106.8653161	0976643121
Phước Thành	113	Xã	15803	123.49	127.97	Xã An Thái (H. Phú Giáo), Xã Phước Sang (H. Phú Giáo), Xã Tân Hiệp (H. Phú Giáo)		xã Phú Giáo, xã Phước Hoà, xã An Long và tỉnh Đồng Nai	Đường ĐH508, xã Phước Thành	11.3612689	106.7715352	0986754606
Thủ Dầu Một	152	Phường	88132	15.68	5620.66	Phường Phú Cường (TP. Thủ Dầu Một), Phường Phú Thọ (TP. Thủ Dầu Một), Phường Chánh Nghĩa (TP. Thủ Dầu Một)	Phường Hiệp Thành (TP. Thủ Dầu Một), Phường Chánh Mỹ (TP. Thủ Dầu Một)	phường Phú Lợi, phường Thuận An, phường Chánh Hiệp, phường Thuận Giao và xã Bình Mỹ	Số 01, đường Quang Trung, phường Thủ Dầu Một	10.9805456	106.6519567	1900866665
Vũng Tàu	162	Phường	117413	16.86	6963.99	Phường 1 (TP. Vũng Tàu), Phường 2 (TP. Vũng Tàu), Phường 3 (TP. Vũng Tàu), Phường 4 (TP. Vũng Tàu), Phường 5 (TP. Vũng Tàu), Phường Thắng Nhì (TP. Vũng Tàu), Phường Thắng Tam (TP. Vũng Tàu)		phường Tam Thắng và Biển Đông	Số 89 Lý Thường Kiệt, Phường 1, phường Vũng Tàu	10.3502593	107.0762912	02543511928
Tam Thắng	118	Phường	86420	11.76	7348.64	Phường 7, Phường 8, Phường 9, Phường Nguyễn An Ninh (TP. Vũng Tàu)		phường Rạch Dừa, phường Vũng Tàu và biển Đông	Số 603 đường Nguyễn An Ninh, phường Tam Thắng	10.3617608	107.0956814	02543583366
Hoà Hiệp	71	Xã	25995	99.28	261.83	Xã Hoà Hiệp (H. Xuyên Mộc) (giữ nguyên)		xã Bàu Lâm, xã Hoà Hội, xã Bình Châu và tỉnh Lâm Đồng	Tỉnh lộ 329, ấp Phú Bình, xã Hòa Hiệp	10.6891167	107.5004804	02543784254
Long Sơn	88	Xã	17767	56.5	314.46	Xã Long Sơn (TP. Vũng Tàu) (giữ nguyên)		phường Phước Thắng, phường Long Hương, phường Tân Hải và Biển Đông	Thôn 1, xã Long Sơn	10.46368876	107.0842456	02543844005
Bình Châu	22	Xã	26054	87.06	299.26	Xã Bình Châu (H. Xuyên Mộc) (giữ nguyên)		xã Xuyên Mộc, xã Hoà Hội, xã Hoà Hiệp, tỉnh Lâm Đồng và Biển Đông	Quốc lộ 55, ấp Láng Găng, xã Bình Châu	10.5603904	107.5411257	02543871137
